Course,Name,Profs,LTP,Creds,Slot,Room
CS20202,SOFTWARE ENGINEERING,"Abir Das,Sourangshu Bhattacharya",3-0-0,3,E3,"NC344, NC343"
CS30202,DATABASE MANAGEMENT SYSTEMS,"Krothapalli Sreenivasa Rao,Pabitra Mitra",3-0-0,3,B3,"NC243, NC244"
CS31202,OPERATING SYSTEMS,"Abhijit Das,Bivas Mitra",3-1-0,4,E4,"NC243, NC244"
CS60004,HARDWARE SECURITY,Sarani Bhattacharya,3-0-0,3,G3,CSE-119
CS60010,DEEP LEARNING,Pawan Goyal,3-0-0,3,G3,NC321
CS60023,APPROXIMATION AND ONLINE ALGORITHMS,Sudebkumar Prasant Pal,3-0-0,3,S3,CSE-107
CS60050,MACHINE LEARNING,Aritra Hazra,3-0-0,3,A3,NC324
CS60052,ADVANCED DIGITAL IMAGE PROCESSING AND COMPUTER VISION,Jayanta Mukhopadhyay,3-0-0,3,A3,CSE-108
CS60064,COMPUTATIONAL GEOMETRY,Partha Bhowmick,3-0-0,3,A3,CSE-107
CS60075,NATURAL LANGUAGE PROCESSING,Saptarshi Ghosh,3-0-0,3,E3,NC323
CS60086,SELECTED TOPICS IN ALGORITHMS,Palash Dey,3-0-0,3,G3,CSE-120
AI42001,MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,"Mahesh Mohan M R,Somdyuti Paul,Sudeshna Sarkar",3-0-3,5,"B3, N","NR412,NR412,NR412"
AI60202,ADVANCED LEARNING PARADIGMS FOR ARTIFICIAL INTELLIGENCE,"Adway Mitra,Plaban Kumar Bhowmick",3-0-0,3,A3,NC 131
AI61002,DEEP LEARNING FOUNDATIONS AND APPLICATIONS,"Jiaul Hoque Paik,Mahesh Mohan M R,Somdyuti Paul",3-1-0,4,E4,NR412
MA20202,TRANSFORM CALCULUS,"Debapriya Biswas,Hari Shankar Mahato,Koeli Ghoshal",3-0-0,3,A3,"NR221, NR121, NR222"
MA20204,APPLIED COMPUTATIONAL METHODS,Somnath Bhattacharyya,3-0-0,3,B3,NR221
MA20208,STOCHASTIC PROCESSES AND APPLICATIONS,Swanand Ravindra Khare,3-0-0,3,E3,NC314
