Course,Name,Profs,LTP,Creds,Slot,Room,EX,A,B,C,D,P,F
CS20202,SOFTWARE ENGINEERING,"Abir Das,Sourangshu Bhattacharya",3-0-0,3,E3,"NC344, NC343",37,51,46,10,7,2,1
CS30202,DATABASE MANAGEMENT SYSTEMS,"Krothapalli Sreenivasa Rao,Pabitra Mitra",3-0-0,3,B3,"NC243, NC244",0,0,0,0,0,0,0
CS31202,OPERATING SYSTEMS,"Abhijit Das,Bivas Mitra",3-1-0,4,E4,"NC243, NC244",0,0,0,0,0,0,0
CS60004,HARDWARE SECURITY,Sarani Bhattacharya,3-0-0,3,G3,CSE-119,1,0,1,2,0,0,0
CS60010,DEEP LEARNING,Pawan Goyal,3-0-0,3,G3,NC321,31,33,8,3,0,0,0
CS60023,APPROXIMATION AND ONLINE ALGORITHMS,Sudebkumar Prasant Pal,3-0-0,3,S3,CSE-107,2,2,0,1,0,0,0
CS60050,MACHINE LEARNING,Aritra Hazra,3-0-0,3,A3,NC324,8,9,4,3,2,0,0
CS60052,ADVANCED DIGITAL IMAGE PROCESSING AND COMPUTER VISION,Jayanta Mukhopadhyay,3-0-0,3,A3,CSE-108,1,1,2,0,0,0,0
CS60064,COMPUTATIONAL GEOMETRY,Partha Bhowmick,3-0-0,3,A3,CSE-107,10,2,0,0,2,0,0
CS60075,NATURAL LANGUAGE PROCESSING,Saptarshi Ghosh,3-0-0,3,E3,NC323,1,11,7,13,10,6,2
CS60086,SELECTED TOPICS IN ALGORITHMS,Palash Dey,3-0-0,3,G3,CSE-120,0,0,0,0,0,0,0
AI42001,MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,"Mahesh Mohan M R,Somdyuti Paul,Sudeshna Sarkar",3-0-3,5,"B3, N","NR412,NR412,NR412",64,241,63,3,0,0,0
AI60202,ADVANCED LEARNING PARADIGMS FOR ARTIFICIAL INTELLIGENCE,"Adway Mitra,Plaban Kumar Bhowmick",3-0-0,3,A3,NC 131,0,0,0,0,0,0,0
AI61002,DEEP LEARNING FOUNDATIONS AND APPLICATIONS,"Jiaul Hoque Paik,Mahesh Mohan M R,Somdyuti Paul",3-1-0,4,E4,NR412,8,98,82,8,1,1,0
MA20202,TRANSFORM CALCULUS,"Debapriya Biswas,Hari Shankar Mahato,Koeli Ghoshal",3-0-0,3,A3,"NR221, NR121, NR222",61,461,167,21,13,6,0
MA20204,APPLIED COMPUTATIONAL METHODS,Somnath Bhattacharyya,3-0-0,3,B3,NR221,22,20,37,48,19,4,0
MA20208,STOCHASTIC PROCESSES AND APPLICATIONS,Swanand Ravindra Khare,3-0-0,3,E3,NC314,50,101,31,6,1,2,0
MA40206,NUMERICAL ANALYSIS,Rajni Kant Pandey,3-0-0,3,B3,NC314,0,0,0,0,0,0,0
MA40241,MULTI-OBJECTIVE OPTIMIZATION,Debjani Chakraborty,3-0-0,3,G3,NC311,0,0,0,0,0,0,0
MA40248,MATHEMATICAL STATISTICS,Kamalakshya Mahatab,3-0-0,3,A3,0,0,0,0,0,0,0,0
MA41204,COMPLEX ANALYSIS,Bappaditya Bhowmik,3-1-0,4,E4,NC312,0,0,0,0,0,0,0
MA51014,TOPOLOGY,Gnaneshwar Nelakanti,3-1-0,4,"S3, B3",NC324,0,0,0,0,0,0,0
MA51108,ADVANCED COMPLEX ANALYSIS,Bappaditya Bhowmik,3-1-0,4,E4,NC312,0,1,0,0,0,0,0
MA60002,DATA STRUCTURE AND ALGORITHM,Sourav Mukhopadhyay,3-1-0,4,E4,NC313,10,10,2,1,0,0,0
MA60044,MULTI-OBJECTIVE PROGRAMMING,Debjani Chakraborty,3-1-0,4,"S3, G3",NC311,0,0,0,1,0,0,0
MA60056,REGRESSION & TIME SERIES MODELS,Buddhananda Banerjee,4-0-0,4,"S3, B3",NC321,0,0,0,0,0,0,0
MA60067,STOCHASTIC PROCESS AND SIMULATION,Swanand Ravindra Khare,3-1-0,4,E4,NC142,1,0,1,4,0,0,0
MA60274,AI & ML,Bodhayan Roy,3-0-0,3,A3,0,0,0,0,0,0,0,0
MA60280,REGRESSION ANALYSIS AND TIME SERIES MODELS,Buddhananda Banerjee,3-0-0,3,B3,NC321,0,0,0,0,0,0,0
MA60292,STOCHASTIC CALCULUS,Nitin Gupta,3-0-0,3,G3,0,0,0,0,0,0,0,0
MA60300,MULTI-CRITERIA DECISION MAKING,Debjani Chakraborty,3-0-0,3,G3,NC311,0,0,0,0,0,0,0
MA60304,STATISTICAL INFERENCE,Somesh Kumar,3-0-0,3,E3,0,0,0,0,0,0,0,0
MA60308,FILE ORGANIZATION AND DATABASE SYSTEMS,"Adrijit Goswami,Pawan Kumar",3-0-0,3,B3,NR312,0,0,0,0,0,0,0
MA61046,MULTI-OBJECTIVE PROGRAMMING,Debjani Chakraborty,3-1-0,4,"S3, G3",NC311,0,0,0,0,0,0,0
MA61202,ADVANCED COMPLEX ANALYSIS,Bappaditya Bhowmik,3-1-0,4,E4,NC312,0,0,0,0,0,0,0
MA71002,COMMUTATIVE ALGEBRA,"Mousumi Mandal,Ramakrishna Nanduri",3-1-0,4,"S3, B3","NC313,NC313",0,0,1,0,0,0,0
EM20204,STATISTICS FOR ECONOMICS,Dripto Bakshi,3-0-0,3,A3,NC342,0,0,0,0,0,0,0
