course,EX,A,B,C,D,P,F,session
AE40037-PHYSICS OF FLUID FLOW EXPERIMENTS ,0,0,1,0,0,0,0,Spring 22
AE48002-COMPREHENSIVE VIVA VOCE ,0,0,2,4,3,2,0,Spring 22
AE51003-APPLIED ELASTICITY & PLASTICITY ,0,0,0,1,0,1,0,Spring 22
AI60004- ,27,141,89,2,2,0,0,Spring 22
EP60004- ,4,12,14,16,10,2,0,Spring 22
ET60006- ,14,38,30,4,0,0,0,Spring 22
RX60019- ,5,19,37,87,1,0,0,Spring 22
AE51019-SMART STRUCTURES ,0,3,5,0,0,0,0,Spring 22
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS ,64,241,63,3,0,0,0,Spring 22
AI61002- ,8,98,82,8,1,1,0,Spring 22
AI61004- ,0,9,7,3,0,0,0,Spring 22
HS30054-SOCIOLOGY OF RESOURCE MANAGEMENT ,0,5,11,3,0,0,0,Spring 22
MA60002- ,10,10,2,1,0,0,0,Spring 22
AE48003-SUMMER TRAINING ,15,18,7,12,1,0,1,Autumn 22
AE51005-UNSTEADY AERODYNAMICS ,4,8,0,2,2,1,0,Autumn 22
AE57003-PROJECT ,9,15,3,1,0,0,0,Autumn 22
AE58001-COMPREHENSIVE VIVA VOCE ,0,1,7,8,9,3,0,Autumn 22
AI60007- ,5,4,9,6,5,2,0,Autumn 22
AI60201- ,10,25,39,27,7,2,0,Autumn 22
AE40033-FINITE ELEMENT METHODS ,0,3,1,0,0,0,0,Spring 22
AE40034-ADVANCED COMPUTATIONAL FLUID DYNAMICS ,0,1,1,2,2,0,0,Spring 22
AE51007-COMBUSTION PROCESSES IN JET ENGINES ,1,7,2,1,0,0,0,Spring 22
AE51018-INDUSTRIAL AERODYNAMICS ,2,3,2,1,0,0,0,Spring 22
AE61004- ,0,1,8,1,0,0,1,Spring 22
NT70002- ,5,6,4,7,3,0,0,Spring 22
AE61007- ,2,0,1,0,0,0,0,Autumn 22
KS20201-THEORIES OF LANGUAGE COMPREHENSION: INDIA AND BEYOND ,50,137,44,30,0,0,2,Autumn 22
EP60002- ,18,34,4,0,0,0,0,Spring 22
EP60042- ,37,22,3,0,0,0,0,Spring 22
ET60029- ,97,129,91,11,3,1,0,Spring 22
IM60054- ,1,5,7,0,0,1,0,Spring 22
AE40037-PHYSICS OF FLUID FLOW EXPERIMENTS ,8,8,4,2,0,0,0,Autumn 22
KS60001- ,46,157,211,85,16,4,4,Autumn 22
AE47006-PROJECT - PART 2 ,5,9,5,2,0,0,0,Spring 22
EP60020- ,33,22,26,37,28,12,1,Spring 22
AE51003-APPLIED ELASTICITY & PLASTICITY ,0,5,3,3,1,1,0,Autumn 22
AE60006- ,2,2,2,1,1,1,0,Spring 22
EP60046- ,7,23,6,2,2,0,0,Spring 22
IP60162- ,0,2,2,9,3,0,0,Spring 22
SE60002- ,13,73,34,4,2,1,0,Spring 22
KS20203-PANINIAN GRAMMAR FROM COMPUTATIONAL PERSPECTIVE ,11,42,20,23,4,3,0,Autumn 22
CS21202-SWITCHING CIRCUITS AND LOGIC DESIGN ,12,65,67,21,4,3,1,Spring 22
CS29003-ALGORITHMS LABORATORY ,17,20,20,14,19,0,0,Spring 22
CS29204-SWITCHING CIRCUITS LABORATORY ,44,67,38,14,4,6,0,Spring 22
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM ,24,81,64,12,2,1,0,Spring 22
EE61209- ,1,2,0,2,1,1,1,Autumn 22
ME61201- ,2,1,5,3,3,1,0,Autumn 22
EP60040- ,10,10,7,7,2,0,0,Spring 22
AE51019-SMART STRUCTURES ,2,1,1,2,0,1,0,Autumn 22
EP60008- ,14,34,16,3,1,0,0,Spring 22
AE40018-INTRODUCTION TO TURBULENCE ,1,1,1,6,0,2,0,Autumn 22
CR61036- ,0,0,1,0,0,0,0,Spring 22
HS51604-GERMAN ,4,16,12,1,0,0,0,Spring 22
CR61001- ,0,1,0,0,0,0,0,Autumn 22
CR61003- ,1,0,0,0,0,0,0,Autumn 22
CR61013- ,0,0,1,0,0,0,0,Autumn 22
AE40008-AEROELASTICITY ,0,0,0,1,0,0,0,Spring 22
AE51016-FRACTURE MECHANICS ,0,1,0,0,0,0,0,Spring 22
IM60213- ,0,0,1,0,1,2,0,Spring 22
AE40009-ROCKET PROPULSION ,1,2,3,2,2,1,1,Autumn 22
AI60002- ,4,31,42,23,2,1,0,Spring 22
RX60011- ,1,7,4,4,4,0,0,Spring 22
EP60006- ,9,20,20,1,0,0,0,Spring 22
RX60014- ,1,0,5,7,4,1,0,Autumn 22
RX60019- ,0,4,26,18,2,1,1,Autumn 22
ME60408- ,2,1,3,1,0,0,0,Spring 22
AE40019-AUTOMATIC CONTROL OF AIRCRAFT ,3,6,4,3,0,3,0,Autumn 22
MF41601-SOFT COMPUTING ,51,74,34,9,14,7,3,Autumn 22
AI60008- ,4,7,6,1,0,3,0,Spring 22
ID60017- ,0,0,0,2,0,0,0,Spring 22
MA41011-THEORY OF OPERATING SYSTEMS ,6,17,45,44,8,0,0,Spring 22
AI61009- ,2,12,13,10,3,0,0,Autumn 22
MA39203-DESIGN & ANALYSIS OF ALGORITHMS LAB ,34,51,23,0,0,0,0,Autumn 22
RX60021- ,4,10,15,28,6,0,0,Spring 22
